kepid,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_steff,koi_srad,koi_kepmag
6849310,CONFIRMED,9.76734503,569.1,1.6585,2.67,5527.0,0.927,15.604
9471974,CONFIRMED,190.3200468,1141.7,15.284,7.78,5626.0,2.057,12.654
6862603,FALSE POSITIVE,2.861159894,1014.3,1.8832,4.37,6126.0,1.021,15.618
7366258,CONFIRMED,26.44439337,1843.5,3.9783,3.91,5427.0,0.929,15.158
7366258,CONFIRMED,51.53997972,3644.3,6.3994,5.51,5427.0,0.929,15.158
7366258,CONFIRMED,5.902245782,702.3,2.9003,2.43,5427.0,0.929,15.158
7366258,CONFIRMED,2.382951591,391.6,1.8876,1.86,5427.0,0.929,15.158
7373451,CONFIRMED,21.02250608,1772.5,4.1072,3.07,5067.0,0.75,15.859
6948054,CONFIRMED,3.219814777,488.2,2.0642,1.69,5103.0,0.787,15.599
6949607,CONFIRMED,5.912273234,961.4,2.3254,1.73,4072.0,0.57,15.036
6949607,CONFIRMED,8.98581901,881.3,2.8606,1.65,4072.0,0.57,15.036
11869052,FALSE POSITIVE,20.5452375,218.5,2.517,2.41,5670.0,1.264,12.003
7109675,CONFIRMED,33.60123371,7425.9,4.4056,8.46,5149.0,0.93,15.262
7109675,CONFIRMED,6.76652928,450.7,2.9004,1.97,5149.0,0.93,15.262
7118364,CONFIRMED,4.347288783,451.6,2.1024,2.36,5754.0,1.122,15.024
7134976,CONFIRMED,4.601811819,755.9,2.2607,2.35,4986.0,0.833,15.024
7134976,CONFIRMED,11.18719905,353.6,3.252,1.55,4986.0,0.833,15.024
7135852,CONFIRMED,4.220965778,2260.0,3.0854,2.62,3837.0,0.517,15.692
7270230,FALSE POSITIVE,6.998099523,20285.0,2.0488,588.66,5612.0,0.829,15.877
7287995,CONFIRMED,5.95489993,1410.7,2.3892,2.33,4261.0,0.633,15.019
7287995,CONFIRMED,12.03987488,1250.6,2.7363,2.18,4261.0,0.633,15.019
7287995,CONFIRMED,20.83762895,439.0,2.3734,1.42,4261.0,0.633,15.019
3247396,FALSE POSITIVE,8.8111022,401.1,5.0683,63.66,6200.0,2.404,12.759
7303253,CONFIRMED,23.58917143,1200.7,5.073,3.16,4919.0,0.721,15.316
5094751,CONFIRMED,6.481633073,298.5,3.784,2.54,5945.0,1.302,12.365
7678434,CONFIRMED,10.37168928,1254.9,3.035,3.2,5121.0,0.888,15.193
7678434,CONFIRMED,3.96996298,299.2,1.1757,1.78,5121.0,0.888,15.193
7685981,CONFIRMED,4.40841331,549.4,5.012,2.66,6007.0,0.961,15.662
7708215,FALSE POSITIVE,7.9426176,1590.7,6.703,4.68,5811.0,0.926,15.26
7373451,CONFIRMED,226.8904775,3136.4,7.558,4.53,5067.0,0.75,15.859
7377033,FALSE POSITIVE,1.956811408,24905.0,2.1958,21.58,5209.0,0.603,15.533
7434875,CONFIRMED,9.439459486,3036.1,2.8979,4.16,5097.0,0.779,15.067
8349582,CONFIRMED,11.523067458,507.3,3.8757,3.13,5644.0,1.411,12.346
7434875,CONFIRMED,20.47748843,1382.4,2.8364,2.92,5097.0,0.779,15.067
7434875,CONFIRMED,3.336123113,516.3,1.9616,1.74,5097.0,0.779,15.067
7455287,CONFIRMED,8.01078456,1333.6,2.312,1.72,3713.0,0.47,15.847
7455287,CONFIRMED,12.07134205,759.2,4.3224,1.29,3713.0,0.47,15.847
7455287,CONFIRMED,20.99587872,767.3,2.6333,1.3,3713.0,0.47,15.847
7458762,CONFIRMED,7.41113177,620.5,2.5242,2.45,5849.0,0.919,15.031
7552344,FALSE POSITIVE,1.000747038,1823.5,0.9967,4.14,5472.0,0.79,15.419
757450,CONFIRMED,8.884922995,16053.4,2.07004,10.51,5332.0,0.843,15.264
7585481,CONFIRMED,8.09888906,6911.1,4.20241,8.95,6214.0,1.076,15.261
7663691,CONFIRMED,10.00653012,936.1,5.344,3.52,6063.0,1.001,15.063
5812701,CONFIRMED,17.855221681,9065.2,7.41287,13.16,6823.0,1.367,11.353
8039892,CONFIRMED,5.007316661,6932.3,4.2362,6.96,5865.0,0.827,15.813
8150320,CONFIRMED,2.211116989,724.2,1.6485,1.85,4500.0,0.646,15.791
8150320,CONFIRMED,27.9541337,942.5,3.95,1.9,4500.0,0.646,15.791
11086270,CONFIRMED,12.69104387,252.1,3.7727,2.57,5869.0,1.626,12.935
7767559,FALSE POSITIVE,4.409409243,12861.0,3.8636,10.95,5600.0,0.975,15.403
7825899,CONFIRMED,16.23947096,2590.7,4.0374,4.14,5191.0,0.837,15.258
7825899,CONFIRMED,6.308201629,1328.5,2.9785,2.96,5191.0,0.837,15.258
7849854,CONFIRMED,2.052349884,14280.6,2.0778,13.12,5855.0,1.08,15.257
7870390,CONFIRMED,9.7704486,1897.8,2.4517,2.23,3906.0,0.509,15.777
7870390,CONFIRMED,5.169804269,1037.4,2.153,1.66,3906.0,0.509,15.777
5094751,CONFIRMED,21.22261195,366.0,6.5093,2.48,5945.0,1.302,12.365
7870390,CONFIRMED,20.09017037,1432.1,4.154,2.25,3906.0,0.509,15.777
7907423,CONFIRMED,7.11373257,807.6,2.1764,1.16,3561.0,0.411,15.234
7907423,CONFIRMED,3.306551643,509.2,1.8177,0.91,3561.0,0.411,15.234
7907423,CONFIRMED,15.36845737,756.1,2.4714,1.11,3561.0,0.411,15.234
