koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,ra,dec,target_planet,mission,tid,toi
5.4255548,0.0002073,-0.0002073,2459232.248322,0.000512,-0.000512,3.9637474,0.0211401,-0.0211401,14939.6342222,238.97354,-238.97354,9.43898,0.6872333500000001,-0.6872333500000001,1037.2753045,273.5880696,,,8868.7,809.8,-809.8,4.36,0.0852564,-0.0852564,1.2,0.06,-0.06,7.6095,107.286063,-31.933523,0,TESS,97700520,1013.01
1.4095184,2.3e-06,-2.3e-06,2459985.657041,0.000309,-0.000309,0.9484999,0.0413901,-0.0413901,2841.5103258,51.88166,-51.88166,9.43898,0.6872333500000001,-0.6872333500000001,1625.6180218,1650.422071,,,9307.0,938.9,-938.9,4.36,0.0852564,-0.0852564,1.2,0.06,-0.06,7.678,103.561602,-34.22282,0,TESS,96246348,1014.01
1.3730466,6.7e-06,-6.7e-06,2459963.610065,0.004221,-0.004221,2.5708515,0.1950537,-0.1950537,1301.5065338,96.64637,-96.64637,42.1479417,46.48904,-46.48904,1912.3318636,3160.6328329,,,4897.0,122.0,-122.0,4.36,0.0852564,-0.0852564,6.7996101,0.06,-0.06,10.7069,122.895964,-27.971896,0,TESS,155044736,1015.01
12.6889415,0.0095088,-0.0095088,2459238.831138,0.006715,-0.006715,7.9201001,0.5393766,-0.5393766,3232.8527885,235.25328,-235.25328,14.0608342,15.241591,-15.241591,1158.1310368,425.1594177,,,7601.0,135.8,-135.8,4.31,0.08,-0.08,1.53641,0.0479799,-0.0479799,10.6257,116.110771,-36.098285,0,TESS,175310067,1016.01
1.10422,0.00013,-0.00013,2458518.96536,0.00137,-0.00137,2.37,0.062,-0.062,14177.7,843.788,-843.788,21.0448,5.22012,-5.22012,3926.0,39459.3,,,6995.2,157.0,-157.0,4.07,0.55,-0.55,1.61,0.07,-0.07,10.6019,124.726411,-37.78325,0,TESS,182943944,1017.01
4.95912,0.00016,-0.00016,2458492.78078,0.00073,-0.00073,2.509,0.13,-0.13,7440.0,197.962,-197.962,22.9123,3.28055,-3.28055,1419.0,673.55,,,5889.0,124.3,-124.3,3.86,0.07,-0.07,2.0,0.09,-0.09,10.6254,111.716019,-50.266567,0,TESS,291555748,1018.01
4.4119378,8e-07,-8e-07,2460187.916571,0.000126,-0.000126,3.65,0.011,-0.011,15062.0,69.1814,-69.1814,15.4706,0.691963,-0.691963,1408.0,653.252,,,6280.0,131.1,-131.1,4.32092,0.0852564,-0.0852564,1.21,0.05,-0.05,9.7109,87.139821,-63.988329,1,TESS,149603524,102.01
3.28892,0.00066,-0.00066,2458521.29108,0.00241,-0.00241,3.793,0.202,-0.202,10518.9,530.608,-530.608,9.43898,0.6872333500000001,-0.6872333500000001,3661.0,29832.6,,,8734.2,283.6,-283.6,4.1,1.45,-1.45,1.2,0.06,-0.06,10.7173,128.381976,-43.828421,0,TESS,140706664,1020.01
1.90879,0.00035,-0.00035,2458492.90429,0.00426,-0.00426,1.909,0.231,-0.231,618.482,1.43774,-1.43774,3.34688,0.217749,-0.217749,1561.0,985.807,,,6022.6,133.5,-133.5,4.52,0.39,-0.39,1.22,0.05,-0.05,10.5551,119.30075,-42.999149,0,TESS,143994283,1021.01
3.09574,0.00677,-0.00677,2458547.448,0.00834,-0.00834,4.475,1.196,-1.196,380.0,69.96525,-69.96525,3.4262,0.778713,-0.778713,3230.0,18087.9,,,6084.0,111.0,-111.0,4.13,0.3,-0.3,1.41,0.05,-0.05,8.72924,162.96491,-5.788708,0,TESS,47384844,1022.01
