kepid,koi_srad,koi_steff,koi_disposition
3554031,0.554,4362.0,CONFIRMED
8394721,1.324,6198.0,CONFIRMED
7295235,0.857,5511.0,CONFIRMED
2302548,0.78,5095.0,CONFIRMED
2302548,0.78,5095.0,CONFIRMED
10743597,0.874,5619.0,FALSE POSITIVE
10743597,0.874,5619.0,FALSE POSITIVE
9818381,1.358,6063.0,CONFIRMED
6124941,0.183,3337.0,FALSE POSITIVE
6060203,1.02,5366.0,CONFIRMED
5880320,1.458,6021.0,CONFIRMED
5880320,1.458,6021.0,CONFIRMED
5880320,1.458,6021.0,CONFIRMED
3003992,0.874,5370.0,FALSE POSITIVE
6307537,0.788,4889.0,FALSE POSITIVE
6359798,1.037,5850.0,FALSE POSITIVE
6311681,0.915,5705.0,FALSE POSITIVE
6365321,0.936,5941.0,FALSE POSITIVE
6301035,1.072,6110.0,FALSE POSITIVE
3859079,0.708,4736.0,CONFIRMED
3557493,1.031,6277.0,FALSE POSITIVE
4061149,0.424,3683.0,CONFIRMED
3444588,0.602,4109.0,CONFIRMED
8394721,1.324,6198.0,CONFIRMED
3962243,0.974,5779.0,CONFIRMED
10743597,0.874,5619.0,CANDIDATE
10015516,10.703,5355.0,FALSE POSITIVE
10154388,0.933,5547.0,CONFIRMED
1432789,1.22,5782.0,CONFIRMED
1718189,0.876,5830.0,CONFIRMED
5880320,1.458,6021.0,CONFIRMED
5130369,1.895,9651.0,FALSE POSITIVE
6037187,0.973,5907.0,CONFIRMED
6147122,2.069,7839.0,FALSE POSITIVE
8257407,1.583,6214.0,FALSE POSITIVE
8218274,1.489,6424.0,FALSE POSITIVE
3964562,2.031,8601.0,FALSE POSITIVE
5735762,0.873,5192.0,CONFIRMED
6292162,0.931,5887.0,FALSE POSITIVE
6307521,1.004,5334.0,FALSE POSITIVE
6359320,0.921,5831.0,CONFIRMED
3848972,0.776,5496.0,FALSE POSITIVE
3860441,0.809,5497.0,FALSE POSITIVE
3765771,2.147,6028.0,FALSE POSITIVE
3557341,0.808,5628.0,FALSE POSITIVE
3859628,0.905,5705.0,CONFIRMED
3644071,1.048,5609.0,CANDIDATE
1718189,0.876,5830.0,CONFIRMED
1431122,0.986,5300.0,CANDIDATE
3858949,0.796,5372.0,FALSE POSITIVE
3858824,0.742,5198.0,FALSE POSITIVE
2157247,0.956,6052.0,FALSE POSITIVE
7601633,2.221,5996.0,FALSE POSITIVE
8242681,1.033,6210.0,FALSE POSITIVE
8260218,0.842,5695.0,CANDIDATE
8246781,1.367,6025.0,FALSE POSITIVE
8264070,2.994,5970.0,FALSE POSITIVE
8222813,0.863,5074.0,CONFIRMED
6359320,0.921,5831.0,CONFIRMED
6359320,0.921,5831.0,CANDIDATE
6362874,0.832,5487.0,CONFIRMED
6272413,0.847,5093.0,CONFIRMED
8279765,0.891,5747.0,FALSE POSITIVE
8330548,1.118,6289.0,FALSE POSITIVE
3348082,1.548,5570.0,FALSE POSITIVE
3853673,0.83,5958.0,FALSE POSITIVE
3447722,1.33,6157.0,CONFIRMED
3447722,1.33,6157.0,CONFIRMED
3447722,1.33,6157.0,CONFIRMED
3447722,,,CANDIDATE
1432214,1.212,6018.0,FALSE POSITIVE
2165002,0.716,4987.0,CONFIRMED
2165002,0.716,4987.0,CONFIRMED
2441728,0.873,6021.0,FALSE POSITIVE
1871056,2.097,6207.0,CONFIRMED
8222813,0.863,5074.0,CONFIRMED
12105051,0.899,5340.0,CANDIDATE
8240904,1.294,5529.0,CONFIRMED
8240904,1.294,5529.0,CONFIRMED
8240904,1.019,5888.0,CANDIDATE
8374494,0.872,5542.0,FALSE POSITIVE
5735762,0.873,5192.0,CONFIRMED
8414907,0.772,5055.0,FALSE POSITIVE
8414907,,,FALSE POSITIVE
8397446,1.385,6243.0,FALSE POSITIVE
8386035,,,FALSE POSITIVE
3962243,0.974,5779.0,CONFIRMED
3962243,0.974,5779.0,CONFIRMED
3438507,1.044,6309.0,CONFIRMED
3869014,3.046,5684.0,CONFIRMED
3756801,1.444,5796.0,CANDIDATE
1871056,2.097,6207.0,CONFIRMED
1865042,1.022,5405.0,CONFIRMED
2438502,2.445,5463.0,FALSE POSITIVE
2309585,0.94,5751.0,FALSE POSITIVE
5780460,0.779,5123.0,CONFIRMED
8244190,0.859,5639.0,FALSE POSITIVE
